Open Time (UTC),Close Time (UTC),Symbol,Open Price,Close Price,Total Size,Closed PNL,Exchange fee paid,Funding fee paid,Realised PNL,ROI
2024-12-31 20:10,2024-12-31 20:22,PENGUUSDT USDT-Margin,0.033956,0.03389,4221,-0.27858600 USDT,0.10016264 USDT,0.00000000 USDT,-0.37874864 USDT,-1.58%
2024-12-31 19:00,2024-12-31 20:09,FARTCOINUSDT USDT-Margin,0.974,0.9658,243,-1.99260000 USDT,0.16448184 USDT,0.00000000 USDT,-2.15708184 USDT,-8.12%
2024-12-31 14:28,2024-12-31 14:34,PENGUUSDT USDT-Margin,0.033125,0.03279826,12431,-4.06171800 USDT,0.49169522 USDT,0.00000000 USDT,-4.55341322 USDT,-6.43%
2024-12-26 3:01,2024-12-26 8:05,PENGUUSDT USDT-Margin,0.039039,0.038247,9.84E+03,-7.79328000 USDT,0.45629654 USDT,0.03848719 USDT,-8.28806373 USDT,-102.76%
2024-12-25 19:12,2024-12-26 3:01,VIRTUALUSDT USDT-Margin,3.1404871,3.18750081,124,5.82970000 USDT,0.47080230 USDT,0.03933652 USDT,5.31956118 USDT,10.86%
2024-12-25 14:54,2024-12-25 15:12,FARTCOINUSDT USDT-Margin,1.1369,1.1269,4.20E+02,-4.20000000 USDT,0.57047760 USDT,0.00000000 USDT,-4.77047760 USDT,-8.75%
2024-12-25 4:56,2024-12-25 14:46,AIXBTUSDT USDT-Margin,0.32539,0.33195,6.10E+02,4.00160000 USDT,0.24058644 USDT,0.01954623 USDT,3.74146733 USDT,10.93%
2024-12-24 21:13,2024-12-25 14:20,FARTCOINUSDT USDT-Margin,1.13117596,1.17981011,366,17.80010000 USDT,0.47090374 USDT,0.04431690 USDT,17.28487936 USDT,38.58%
2024-12-25 2:22,2024-12-25 3:31,PENGUUSDT USDT-Margin,0.03741311,0.03674267,2.83E+03,-1.89733700 USDT,0.12591652 USDT,0.00000000 USDT,-2.02325352 USDT,-16.95%
2024-12-24 22:33,2024-12-25 0:17,PNUTUSDT USDT-Margin,0.76334124,0.75347948,655,-6.45945000 USDT,0.59611054 USDT,0.05052212 USDT,-7.10608266 USDT,-9.90%
2024-12-24 22:55,2024-12-24 22:56,GOATUSDT USDT-Margin,0.5223,0.5206,296,-0.50320000 USDT,0.18521904 USDT,0.00000000 USDT,-0.68841904 USDT,-3.54%
2024-12-24 21:30,2024-12-24 22:33,LINKUSDT USDT-Margin,25.594,25.68489891,17.51,1.59164000 USDT,0.53873611 USDT,0.00000000 USDT,1.05290389 USDT,2.09%
2024-12-24 21:13,2024-12-24 21:30,VIRTUALUSDT USDT-Margin,3.08468462,3.0743,104,-1.08000000 USDT,0.38432064 USDT,0.00000000 USDT,-1.46432064 USDT,-2.72%
2024-12-24 19:38,2024-12-24 21:11,VIRTUALUSDT USDT-Margin,3.08946798,3.0684601,203,-4.26460000 USDT,0.75003564 USDT,0.00000000 USDT,-5.01463564 USDT,-4.73%
2024-12-24 19:09,2024-12-24 19:30,FARTCOINUSDT USDT-Margin,1.0997,1.0994,666,-0.19980000 USDT,0.87876036 USDT,0.00000000 USDT,-1.07856036 USDT,-1.02%
2024-12-24 6:16,2024-12-24 19:08,PENGUUSDT USDT-Margin,0.031212,0.037143,2258,13.39219800 USDT,0.05736901 USDT,0.01538375 USDT,13.31944524 USDT,94.26%
2024-12-24 19:01,2024-12-24 19:03,HYPEUSDT USDT-Margin,30.79330769,30.405,13,-5.04800000 USDT,0.47734680 USDT,0.00000000 USDT,-5.52534680 USDT,-7.97%
2024-12-24 1:27,2024-12-24 19:01,PNUTUSDT USDT-Margin,0.74944285,0.74623497,817,-2.62084000 USDT,0.73318127 USDT,0.04458802 USDT,-3.39860929 USDT,-2.57%
